wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
wr,bfb;te,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb;te,wr,wr
wr,bfb,bfb,bfb,bfb,bfb,bfb,wbb,bfb,bfb,bfb,bfb,bfb,wr,wr
wr,bfb,bfb,bfb,bfb,bfb,wbb,bfb,wbb,bfb,bfb,bfb,bfb,wr,wr
wr,bfb,bfb,bfb,bfb,bfb;pb,bfb,sb,bfb,wbb,bfb,bfb,bfb,wr,wr
wr,bfb,bfb,bfb,bfb,bfb,wbb,bfb,wbb,bfb,bfb,bfb,bfb,wr,wr
wr,bfb,bfb,bfb,bfb,bfb,bfb,wbb,bfb,bfb,bfb,bfb,bfb,wr,wr
wr,bfb;te,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb;te,wr,wr
wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
